City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
647,Mae Hong Son,TH,78.17,broken clouds,19.3003,97.9685,Baiyoke Chalet Hotel
653,Abohar,IN,82.78,clear sky,30.15,74.1833,OYO 37129 Hotel Piccadily
654,Cumberland,US,79.3,few clouds,35.0502,-78.8664,American Eagle Inn
656,Ocampo,MX,85.84,broken clouds,21.65,-101.5,Hotel Estancia del Vaquero
660,Wardha,IN,89.51,clear sky,20.75,78.6167,Hotel Ramakrishna
667,Roebourne,AU,83.12,few clouds,-20.7833,117.1333,Latitude20 Roebourne Village
669,Sweetwater,US,86.02,scattered clouds,25.7634,-80.3731,Courtyard by Marriott Miami at Dolphin Mall
671,Ambulu,ID,76.51,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
674,Porto Velho,BR,80.65,heavy intensity rain,-8.7619,-63.9039,Ecos Hotel Conforto
678,Caravelas,BR,77.29,overcast clouds,-17.7125,-39.2481,Pousada dos Navegantes
683,Manaus,BR,79.3,light rain,-3.1019,-60.025,Manaus Hotéis Millennium
685,Kailua,US,84.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
687,Benguela,AO,77.02,light rain,-12.5763,13.4055,Hotel Praia Morena
