City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
192,Kirakira,SB,-10.4544,161.9205,82.15,76,84,7.34,broken clouds
193,Esperance,AU,-33.8667,121.9,59.85,62,70,8.72,broken clouds
194,Rutana,BI,-3.8667,30.1,58.08,92,69,1.92,broken clouds
195,Zhangye,CN,38.9342,100.4517,42.84,31,5,7.99,clear sky
196,Viransehir,TR,37.2353,39.7631,59.65,42,99,5.32,overcast clouds
197,Byron Bay,AU,-28.65,153.6167,64.94,85,74,6.58,broken clouds
198,Zwedru,LR,6.0667,-8.1281,74.1,93,90,2.84,overcast clouds
199,Narsaq,GL,60.9167,-46.05,34.02,83,100,5.75,overcast clouds
200,Dikson,RU,73.5069,80.5464,-7.64,100,87,4.9,overcast clouds
201,Ndola,ZM,-12.9587,28.6366,62.04,96,64,5.57,broken clouds
202,Ayan,RU,56.45,138.1667,22.69,82,83,5.3,broken clouds
203,Talaya,RU,61.3833,152.75,7.59,95,100,1.52,overcast clouds
204,Neuquen,AR,-38.9516,-68.0591,69.69,60,0,0.0,clear sky
205,Ponta Do Sol,PT,32.6667,-17.1,69.12,47,100,12.35,overcast clouds
206,Port-Cartier,CA,50.0334,-66.8654,38.75,79,100,10.27,overcast clouds
207,Codrington,AU,-38.2667,141.9667,58.37,85,100,7.96,overcast clouds
208,Vila Franca Do Campo,PT,37.7167,-25.4333,59.41,79,63,11.43,broken clouds
209,Alexandria,EG,31.2156,29.9553,71.17,54,99,20.67,overcast clouds
210,Khandbari,NP,27.3747,87.2039,68.5,42,3,4.47,clear sky
211,Seddon,AU,-37.8068,144.8916,64.74,93,100,5.75,drizzle
212,Vilhena,BR,-12.7406,-60.1458,73.33,82,98,3.96,overcast clouds
213,Katsuura,JP,35.1333,140.3,59.47,73,97,5.79,overcast clouds
214,Leningradskiy,RU,69.3833,178.4167,10.63,87,74,3.04,broken clouds
215,Sandwick,GB,60.0,-1.25,46.22,81,100,16.11,overcast clouds
216,Tiksi,RU,71.6872,128.8694,-7.92,99,77,2.04,broken clouds
217,Kavieng,PG,-2.5744,150.7967,83.73,70,92,13.24,overcast clouds
218,Bosanski Novi,BA,45.0458,16.3803,37.58,72,16,3.98,few clouds
219,Vylkove,UA,45.4021,29.586,45.43,62,100,11.5,overcast clouds
220,Aykhal,RU,66.0,111.5,25.34,96,99,16.96,light snow
221,Whitehorse,CA,60.7161,-135.0538,30.02,58,100,0.83,overcast clouds
222,Hithadhoo,MV,-0.6,73.0833,82.53,75,39,6.17,scattered clouds
223,Denpasar,ID,-8.65,115.2167,80.26,88,20,3.44,few clouds
224,Ulaangom,MN,49.9811,92.0667,40.71,35,1,2.08,clear sky
225,Yulara,AU,-25.2406,130.9889,58.84,55,0,3.44,clear sky
226,Waitara,NZ,-38.925,174.25,55.99,66,100,11.95,overcast clouds
227,Brigantine,US,39.4101,-74.3646,58.03,43,20,16.11,few clouds
228,Melita,CA,49.2681,-100.9967,21.54,94,100,10.65,snow
229,Puerto Del Rosario,ES,28.5004,-13.8627,73.15,56,0,12.66,clear sky
230,Nanlong,CN,31.3533,106.0631,52.29,93,98,2.55,overcast clouds
231,Coquimbo,CL,-29.9533,-71.3436,56.93,88,75,8.05,broken clouds
232,San Clemente,US,33.427,-117.612,84.56,69,2,8.01,clear sky
233,Thunder Bay,CA,48.4001,-89.3168,29.98,80,94,5.97,overcast clouds
234,Madison,US,34.7334,-86.5667,70.11,70,0,4.0,clear sky
235,Svetlogorsk,BY,52.6333,29.7333,33.06,95,87,10.31,overcast clouds
236,Viedma,AR,-40.8135,-62.9967,67.78,55,2,12.19,clear sky
237,Nizhniy Baskunchak,RU,48.2198,46.8311,57.87,54,100,7.83,overcast clouds
238,Naryan-Mar,RU,67.6713,53.087,32.52,98,100,8.81,overcast clouds
239,Astoria,US,46.1879,-123.8313,56.43,47,0,9.22,clear sky
240,Thompson,CA,55.7435,-97.8558,30.43,59,100,2.55,overcast clouds
241,Cidreira,BR,-30.1811,-50.2056,67.5,69,100,10.36,overcast clouds
242,Namibe,AO,-15.1961,12.1522,75.27,72,24,2.93,few clouds
243,Kogon,UZ,39.7228,64.5517,66.24,63,0,4.61,clear sky
244,Buala,SB,-8.145,159.5921,81.73,78,98,7.74,light rain
245,Jalu,LY,29.0331,21.5482,66.24,58,97,16.4,overcast clouds
246,Dwarka,IN,22.2394,68.9678,79.56,77,6,11.48,clear sky
247,San Ramon,US,37.7799,-121.978,70.02,45,0,13.8,clear sky
248,Alofi,NU,-19.0595,-169.9187,81.46,74,75,10.92,broken clouds
249,Beni Mazar,EG,28.4962,30.8029,88.88,9,78,10.09,broken clouds
250,Beloha,MG,-25.1667,45.05,73.36,87,72,11.99,broken clouds
251,Muros,ES,42.7762,-9.0603,57.83,80,8,11.39,clear sky
252,Poum,NC,-20.2333,164.0167,78.08,67,87,7.07,overcast clouds
253,Tasiilaq,GL,65.6145,-37.6368,33.31,98,100,11.95,light snow
254,West Plains,US,36.7281,-91.8524,43.83,94,100,10.0,mist
255,Mogadishu,SO,2.0371,45.3438,82.51,82,100,13.42,light rain
256,Zhuhai,CN,22.2769,113.5678,71.38,78,40,5.75,scattered clouds
257,Arua,UG,3.0201,30.9111,69.21,64,79,2.82,broken clouds
258,Kholm,RU,59.2667,32.85,29.79,96,100,2.62,overcast clouds
259,Mount Gambier,AU,-37.8333,140.7667,56.17,88,100,3.94,moderate rain
260,Soyo,AO,-6.1349,12.3689,78.58,92,74,7.34,broken clouds
261,Ocara,BR,-4.4908,-38.5967,74.89,94,92,4.92,overcast clouds
262,Otjimbingwe,NA,-22.35,16.1333,71.44,28,10,3.69,clear sky
263,Kuusamo,FI,65.9667,29.1833,35.64,87,0,1.14,clear sky
264,San Patricio,US,28.017,-97.5169,89.69,52,21,14.97,few clouds
265,Ostrovnoy,RU,68.0531,39.5131,33.4,90,100,14.23,overcast clouds
266,Skjervoy,NO,70.0311,20.9714,39.2,94,100,9.42,overcast clouds
267,Clyde River,CA,70.4692,-68.5914,-4.79,88,100,5.44,overcast clouds
268,Severo-Kurilsk,RU,50.6789,156.125,31.19,77,86,7.63,overcast clouds
269,Dingle,PH,10.9995,122.6711,75.2,89,80,7.34,broken clouds
270,Filingue,NE,14.3521,3.3168,86.5,10,51,9.78,broken clouds
271,Sembe,CG,1.6481,14.5806,72.05,95,100,0.98,overcast clouds
272,Oxford,GB,51.7522,-1.256,53.2,66,0,5.75,clear sky
273,Eucaliptus,BO,-17.5833,-67.5167,62.17,10,8,10.33,clear sky
274,Healdsburg,US,38.6105,-122.8692,69.01,49,0,5.75,clear sky
275,Zhigansk,RU,66.7697,123.3711,27.01,79,100,29.68,overcast clouds
276,Mareeba,AU,-17.0,145.4333,70.52,93,97,1.83,overcast clouds
277,Kudahuvadhoo,MV,2.6708,72.8944,83.77,69,95,11.3,overcast clouds
278,Meulaboh,ID,4.1363,96.1285,77.74,88,100,3.42,overcast clouds
279,Ulagan,RU,50.6321,87.9563,37.0,71,100,2.28,overcast clouds
280,Pangnirtung,CA,66.1451,-65.7125,0.46,95,100,6.51,overcast clouds
281,Rawson,AR,-43.3002,-65.1023,64.0,63,1,24.56,clear sky
282,Taoudenni,ML,22.6783,-3.9836,80.37,20,0,10.78,clear sky
283,Ust-Kuyga,RU,70.0167,135.6,-1.71,99,81,3.44,broken clouds
284,Aripuana,BR,-9.1667,-60.6333,77.76,93,100,2.55,overcast clouds
285,Feira De Santana,BR,-12.2667,-38.9667,73.2,93,100,8.21,overcast clouds
286,Hofn,IS,64.2539,-15.2082,45.32,86,12,4.83,few clouds
287,Kelso,US,46.1468,-122.9084,58.59,49,0,7.0,clear sky
288,Port Shepstone,ZA,-30.7414,30.455,65.1,84,82,8.21,broken clouds
289,Lorengau,PG,-2.0226,147.2712,81.81,80,42,7.38,scattered clouds
290,Simplicio Mendes,BR,-7.8539,-41.9103,80.58,68,92,3.15,overcast clouds
291,Iqaluit,CA,63.7506,-68.5145,-0.31,64,55,18.01,broken clouds
292,Dustlik,UZ,40.5247,68.0358,71.67,33,100,1.43,overcast clouds
293,Taos,US,36.4072,-105.5731,70.2,13,0,14.0,clear sky
294,Vostok,RU,46.4856,135.8833,25.7,78,15,4.18,few clouds
295,Sao Filipe,CV,14.8961,-24.4956,71.65,77,3,12.06,clear sky
296,Tuatapere,NZ,-46.1333,167.6833,48.27,85,8,4.94,clear sky
297,Margate,GB,51.3813,1.3862,49.69,75,100,1.01,overcast clouds
298,Kimbe,PG,-5.5502,150.1429,77.25,91,100,2.26,overcast clouds
299,Mount Pleasant,US,32.7941,-79.8626,74.17,77,40,13.8,scattered clouds
300,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,30.78,64,0,6.71,clear sky
301,Mount Isa,AU,-20.7333,139.5,60.57,55,2,3.44,clear sky
302,Honiara,SB,-9.4333,159.95,80.35,79,94,5.82,overcast clouds
303,Banjar,ID,-8.19,114.9675,77.9,90,100,3.02,light rain
304,Roma,US,43.2128,-75.4557,45.57,48,20,18.41,few clouds
305,Havre-Saint-Pierre,CA,50.2334,-63.5986,35.96,93,100,13.8,light rain
306,Lota,CL,-37.0833,-73.1667,54.86,66,92,5.82,overcast clouds
307,Taga,RO,46.95,24.05,36.32,62,49,5.68,scattered clouds
308,Lakselv,NO,70.0513,24.9718,39.02,87,100,5.75,overcast clouds
309,Port Blair,IN,11.6667,92.75,81.12,74,72,1.81,broken clouds
310,Laguna,US,38.421,-121.4238,73.06,31,0,9.22,clear sky
311,Aswan,EG,24.0934,32.907,88.38,11,3,8.88,clear sky
312,Gbarnga,LR,6.9956,-9.4722,74.28,91,100,2.71,overcast clouds
313,Flin Flon,CA,54.7682,-101.865,33.64,29,75,5.75,broken clouds
314,Sechura,PE,-5.5569,-80.8222,78.12,57,7,16.11,clear sky
315,Sibu,MY,2.3,111.8167,75.51,94,40,1.14,scattered clouds
316,Kathmandu,NP,27.7167,85.3167,61.02,51,20,2.3,few clouds
317,Bridlington,GB,54.0831,-0.1919,55.0,75,100,17.69,overcast clouds
318,Vestmannaeyjar,IS,63.4427,-20.2734,43.05,70,27,6.13,scattered clouds
319,Kangaba,ML,11.9333,-8.4167,89.89,27,88,7.67,overcast clouds
320,Opuwo,NA,-18.0607,13.84,73.06,41,55,3.27,broken clouds
321,Yerofey Pavlovich,RU,53.9667,121.9667,25.11,76,100,1.61,overcast clouds
322,Homberg,DE,51.0333,9.4,44.55,61,53,2.3,broken clouds
323,Easton,US,40.6884,-75.2207,51.08,33,0,13.8,clear sky
324,Raga,SS,8.4596,25.678,83.75,40,12,4.12,few clouds
325,Hamilton,US,39.1834,-84.5333,53.98,43,0,12.66,clear sky
326,Tlaxco,MX,19.6167,-98.1167,78.85,16,3,13.49,clear sky
327,Russell,US,32.3502,-85.1999,67.28,93,40,8.05,light rain
328,Rocha,UY,-34.4833,-54.3333,62.58,75,100,7.96,overcast clouds
329,Stantsionno-Oyashinskiy,RU,55.4664,83.8245,40.91,91,33,7.02,scattered clouds
330,Kalisz,PL,51.7611,18.091,39.43,65,98,7.38,overcast clouds
331,Saskylakh,RU,71.9167,114.0833,27.48,96,100,14.0,light snow
332,Nogliki,RU,51.8333,143.1667,27.46,95,99,8.08,overcast clouds
333,Dzilam Gonzalez,MX,21.2833,-88.9333,87.73,48,0,12.01,clear sky
334,Leeuwarden,NL,53.2014,5.8086,53.6,51,6,9.22,clear sky
335,Shubarkuduk,KZ,49.1447,56.4872,52.29,59,62,3.58,broken clouds
336,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,78.98,83,49,8.25,scattered clouds
337,Hualmay,PE,-11.0964,-77.6139,70.45,75,8,11.21,clear sky
338,Puerto Escondido,MX,15.85,-97.0667,88.34,56,68,11.05,broken clouds
339,Morgan City,US,29.6994,-91.2068,85.01,74,40,16.11,scattered clouds
340,Talnakh,RU,69.4865,88.3972,4.21,97,100,5.3,overcast clouds
341,Harper,LR,4.375,-7.7169,77.52,84,100,1.54,overcast clouds
342,Akhalgori,GE,42.126,44.4833,47.05,69,34,6.38,scattered clouds
343,Launceston,AU,-41.45,147.1667,58.15,97,40,1.99,fog
